id pc1 pc2 pc3 pc4 pc5 pc6 pc7
1415 -0.0259493 -0.0329283 -0.00364159 -0.010563 -0.00357757 -0.0196696 -0.0370543
1416 0.00895148 -0.0281648 -0.0144034 0.0128948 0.0351884 0.0550657 -0.0282909
1417 -0.0131225 -0.016644 -0.0412053 0.026331 -0.014214 0.0152448 0.0590944
1418 0.0309186 -0.0154686 -0.0039295 0.04049 0.0313909 -0.0465048 -7.74959e-4
1419 0.0243818 -0.0228039 -0.0177257 0.0405622 0.0194821 -0.0682535 0.0101509
1420 -0.00888431 -0.0396314 0.028366100000000002 -0.00721564 -0.00785039 -0.0661379 -0.00869937
1421 -0.00561513 0.0180644 -0.0510417 0.0120117 -0.0120834 0.0199 0.0385652
1422 0.00513548 -0.0244724 0.0274524 0.00452792 -0.0157119 -0.0468962 -0.0126196
1423 0.0354504 -0.0146264 -0.0240489 0.0261165 0.0208939 0.0190549 0.00288591
1424 0.0426994 0.00370104 0.00829999 0.00426448 -0.0192828 0.00844639 -0.0409027
1425 0.0338575 0.0051672 -0.0162119 -0.00455272 -0.0491082 -0.00946225 -0.0314185
1426 0.022967 0.0148355 -0.0222684 -0.00329477 0.0230525 -0.0107595 0.0281654
1427 0.0138316 -0.0111043 0.0293347 8.19445e-4 0.0204406 0.0424977 0.0109941
1428 0.0179869 -0.0159387 0.0313139 0.017224 -0.0272941 -0.0198358 -2.16876e-4
1429 0.00741916 0.0290969 -0.0261202 -0.0282272 -0.00852461 -1.90489e-4 0.010211
1430 0.0351747 0.0157171 0.0280113 0.0055241 -0.00622611 0.0105384 0.0288243
1431 0.0369003 -0.0191691 0.0285213 0.0340666 0.0111121 0.0161062 -0.00973816
1432 -0.00603549 -0.00291564 0.0189719 0.00457259 0.00760901 -0.0117448 -0.00148416
1433 -0.0325294 -0.0281557 -0.0273179 -0.0356593 0.0258838 -0.0345719 -0.0142646
1434 -0.00196841 0.00109282 0.00507842 -0.0127554 0.0196109 0.0193642 0.0118712
1436 0.0352915 -0.0105579 0.0136554 0.00992231 -0.0346687 1.44725e-4 -0.00817889
1437 -0.0298372 -0.0283914 -0.0397756 -5.36909e-4 -0.00973086 0.00903061 0.0335708
1438 0.00309841 0.00377847 -0.00340233 -0.0239189 0.0220261 0.00586024 -0.0245917
1439 -0.0537589 0.0204848 -0.00747018 0.00896181 -0.0239307 0.00847522 -3.73113e-4
1440 0.00543479 0.00298473 0.00156484 0.00631811 0.0328336 0.0090028 0.0175916
